Entry,Identity,M+.,[M+H]+,CCS (Å2),Sourceb,Retention time (min)
553,Tetrabromophthalate,481.6641,482.6719,183.66,Predicted,23.29
554,"3,6,9,12,15-Pentaoxaheptadecan-1-ol, 17-(nonylphenoxy)-",484.3395,485.3473,218.06,Predicted,29.2
555,"17-(4-Nonylphenoxy)-3,6,9,12,15-pentaoxaheptadecan-1-ol",484.3395,485.3473,219.18,Predicted,30.12
556,Pentabromotoluene ,485.6106,486.6184,180.57,Predicted,19.37
557,"α,α-Bis[4-(dimethylamino)phenyl]-4 (phenylamino)naphthalene-1-methanol",487.2619,488.2697,222.03,Predicted,36
558,Perfluorodecanoate,497.9719,498.9797,180.69,Predicted,7.62
559,Perfluorooctane sulfonamide,498.9530,499.9608,170.13,Measured,8.41
560,Pentabromoethylbenzene ,499.6262,500.6340,190.14,Predicted,24.06
561,Perfluorooctane sulfonate,499.9370,500.9448,167.04,Measured,7.83
562,Decachlorodiphenyl Ether,513.6771,514.6849,191.31,Predicted,27.1
563,"20-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]-3,6,9,12,15,18-hexaoxaicosan-1-ol",514.3501,515.3579,224.10,Predicted,29.79
564,N-ethyl perfluorooctanesulfonamide,526.9843,527.9921,178.42,Measured,24.04
565,"20-(Isononylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",528.3657,529.3735,228.51,Predicted,31.21
566,"20-(Nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",528.3657,529.3735,227.87,Predicted,31.62
567,"20-(4-Nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",528.3657,529.3735,228.42,Predicted,32.78
568,"2,4,6-Tribromophenyl 2,3-dibromopropyl ether",529.6368,530.6446,174.52,Predicted,22.08
569,Tetrabromobisphenol A,543.7526,544.7604,193.10,Measured,26.05
570,undecachloropentacyclooctadecadiene,545.6169,546.6247,185.22,Predicted,22.27
571,"2-Ethylhexyl 2,3,4,5-tetrabromobenzoate ",549.7995,550.8073,213.35,Predicted,21.15
572,Hexabromobenzene,551.5034,552.5112,187.02,Predicted,21.22
573,Pentabromobenzyl acrylate ,555.6161,556.6239,204.40,Predicted,23.84
574,N-methyl perfluorooctanesulfonamide ethanol,556.9948,558.0026,191.60,Predicted,14.79
575,"23-(Nonylphenoxy)-3,6,9,12,15,18,21-heptaoxatricosan-1-ol",572.3919,573.3997,236.83,Predicted,36.4
576,Tetrekis(2-chlorethyl) dichloroisopentyldiphosphate,581.9044,582.9122,211.74,Measured,27.12
577,"26-(Nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol;",602.4025,603.4103,242.85,Predicted,39.56
578,Tris(2-bromo-4-methylphenyl) phosphate,603.8468,604.8546,211.75,Predicted,28.05
579,N-methyl perfluorooctanesulfonamide ethylacrylate,611.0054,612.0132,207.23,Predicted,21.21
580,Hexabromocyclododecane,641.6443,642.6521,189.45,Predicted,25.11
581,Alpha-hexabromocyclododecane,641.6443,642.6521,190.46,Predicted,25.11
582,Beta-hexabromocyclododecane,641.6443,642.6521,191.43,Predicted,25.11
583,Gamma-hexabromocyclododecane,641.6443,642.6521,191.85,Predicted,25.11
584,Dechlorane Plus,653.7110,654.7188,226.82,Predicted,26.66
585,"(1S,2S,5R,6R,9S,10S,13R,14R)-1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.1⁶,⁹.0²,¹³.0⁵,¹⁰]octadeca-7,15-diene",653.7110,654.7188,228.14,Predicted,26.66
586,"(1S,2S,5S,6S,9R,10R,13R,14R)-1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.1⁶,⁹.0²,¹³.0⁵,¹⁰]octadeca-7,15-diene",653.7110,654.7188,228.24,Predicted,26.66
587,Monensin Na,670.4287,671.4365,247.59,Measured,20.27
588,"1,2-Bis(2,4,6-tribromophenoxy)ethane ",687.5559,688.5637,182.34,Measured,27.51
589,Dechlorane 604,691.5101,692.5179,210.15,Predicted,25.74
590,Bis(2-ethylhexyl) tetrabromophthalate,705.9147,706.9225,267.37,Predicted,25.04
591,Perfluorotetradecanoate,713.9540,714.9618,208.61,Measured,8.39
592,Levothyroxine,776.6862,777.6940,212.89,Predicted,33.59
593,Perfluorohexadecanoate,813.9477,814.9555,226.52,Measured,9.18
594,Octabromotrimethylphenyl indane ,867.4320,868.4398,244.80,Predicted,32.97
595,Octabromotrimethylphenyl indane ,867.4320,868.4398,233.49,Predicted,36.84
596,Octabromotrimethylphenyl indane ,867.4320,868.4398,241.14,Predicted,37.76
597,Tris(tribromoneopentyl)phosphate,1017.3977,1018.4055,249.70,Predicted,35.27
